Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales
Asinan,196.4,5047471.583135077,0,0,112246.83007387538,4935224.753061201
Ayam,19.53,3147481.655007787,0,0,26662.13498721714,3120819.5200205697
Ayam Kampung,224,42298686.326257885,0,0,111940.21708721109,42186746.109170675
Babi,32,3637629.869999364,0,0,29212.307638371363,3608417.5623609927
Bamboe,308,6109488.700854359,0,0,113966.16206715815,5995522.538787201
Belanja E,38,611453.9065421559,0,0,3448.048345162533,608005.8581969934
Beras,2,92841.2937792018,0,0,0,92841.2937792018
Beras Pari Unggul,39,2534685.485681519,0,0,6016.693750245264,2528668.7919312734
Best Meat,1,30432.390184141695,0,0,26.084905872121453,30406.305278269574
Box,60.59,4171021.437940339,1,20000,1808522.730064279,2319265.607537221
Buah Import,7966.58,1191010457.0293934,41.68,3923215,62812576.877401955,1119856375.130579
Buah Lokal,7437.92,212997587.9096818,62.8,1104775,3071578.4407927394,208096951.83539298
Buah Potong,2802,45643789.859698154,15,157500,362417.0203523543,45023127.7777238
Bumbu,656.53,6592638.346812641,12,58000,68009.43463631207,6422380.293561935
CBPSB,117,26287617.341870442,0,0,79084.16374954465,26208533.178120896
Cemilan,141,4741127.123191953,0,0,24657.312719210982,4716469.810472742
CP,201,29567859.378755093,1,84500,235298.6425368674,29160203.94003274
Delta Food,58,2458717.052869033,0,0,14237.436175735667,2444479.6166932974
Harga,79.38,3503458.243257925,0,0,94679.97578816488,3408778.26746976
Imlek,129,17386500.796031907,0,0,658257.1253255929,16728243.670706313
Indomarco,3,29853.597280802205,0,0,0,29853.597280802205
Mama Suka,143,3047605.0795408664,1,21000,25629.364813287975,2975072.3019973785
Minuman,1187,27222812.289260328,9,154500,691418.8800304602,26258988.97278617
No category,170.499,12051429.8303997,0.65,42250,2506713.22440318,9442204.108785585
nonongan,785,3245969.851135742,3,6000,310.1245080702938,3233254.74630486
Ongkos/Biaya,408,5874614.540086943,8,99000,15032.35590185551,5704140.024765441
OR sayur organik,7338.13,126181626.86012459,45.73,553825,1481662.3953290982,123837238.6317585
Other Products,518.76,9134282.02519524,0,0,51252.32934234664,9083029.695852892
Pangan Lestari,41,1578406.719699502,0,0,8132.160400539637,1570274.5592989624
Parcel,124,75494774.84055161,2,1000000,1793766.5878226664,71448992.48930089
Salmon,189.89,119008969.33464302,1.05,479000,269304.3161022535,117934316.07261924
Sapi,117.82,24846445.184146903,0,0,92604.84565825714,24753840.338488646
SASA,167,3243992.8529150784,0,0,25238.623893283308,3218754.229021795
Sayur,14177.95,246591305.16380453,86.57,1121540,3587394.2977163717,241259361.1335931
Sayur Hidroponik,1448.79,45758496.32712747,5.71,119750,787943.1121302266,44680702.730324075
Sayur Pelengkap,1327.68,46063439.57832874,3.79,76450,891747.7693406027,45009256.07059923
Seafood Ekspor,516.22,59326611.893440016,1,80000,286830.1811439602,58917159.514522746
Seafood Lokal,714.72,94271074.46584688,7,380000,1450192.4337751209,92069107.71883145
SK,437,25432201.585858595,5,133000,136522.95063035795,25009439.927356593
SK Frozen,166,9856231.2652861,1,25000,78335.50015410688,9731971.660830036
SM,25,1450165.3395153116,0,0,13631.056707622483,1436534.2828076892
Solo Siap,4,285593.9282840118,0,0,2291.774227787275,283302.1540562245
Sukses,2482.57,88737352.95163243,20,506500,1307669.6420967097,86635237.93037735
Sunpride,550.13,32425617.08732798,4.58,112210,998415.9172565793,31156071.22228432
Telur,3309,239347547.81681523,62,1576000,5714788.418420859,229801814.04800072
Yummy Food,75,3665281.410649186,0,0,35571.80044244439,3629709.610206742
Yun Yi,744,33684883.507980496,10,194000,249946.88258368615,32977408.977105264
