Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales
A15 - Apel WS isi 9 TATTO,1559,Imlek,2,725039.0927866101,0,0,0,725039.0927866101
A16 - Apel WS isi 9 POLOS,2628,Imlek,2,897982.0474330336,0,0,0,897982.0474330336
A17 - Apel WS isi 9 OCTAGON TATTO,2629,Imlek,2,1251487.8563350067,0,0,0,1251487.8563350067
A25 - Apel ALL isi 9 TATTO,2643,Imlek,1,589250.9599775076,0,0,0,589250.9599775076
AAA - Bihun Kecil 220 g SB,1041,Sukses,20,597401.7361132428,0,0,4389.872757439036,593011.8633558038
AAA - Pickle Lettuce 180 g SB,952,Sukses,27,1408028.7174358964,0,0,10581.400998045458,1397447.316437851
Anggur Adora Black Seedless,1524,Buah Import,36.62,7597507.709286441,0,0,265381.9430695509,7332125.76621689
Anggur Adora Cordoma Australia,10544,Buah Import,1.09,263203.2479227055,0,0,96588.3478615433,166614.9000611622
Anggur Autumn Crips,2326,Buah Import,0.61,153659.54824257642,0,0,0,153659.54824257642
Anggur Autumn Peacock Bunch,10660,Buah Import,27.3,5324860.885043163,0,0,4146.929404023103,5320713.95563914
Anggur Autumn Royal Box,10636,Buah Import,39,2298301.586174639,1,40000,73895.56518593337,2160785.2158350823
Anggur Black Autumn Peacock box,2289,Buah Import,90.78,12872572.170845736,0,0,812790.5484647378,12059781.622380998
Anggur Crimson,1736,Buah Import,18.2,2921326.7524253577,0,0,73301.91343977302,2848024.8389855847
Anggur Crimson Box,10622,Buah Import,58,5832154.203932732,1,40000,290737.59041621117,5447349.610227283
Anggur Kyoho,10576,Buah Import,9,7498142.399867065,0,0,225471.91905378038,7272670.480813285
Anggur Long Crimson Australia Seedless,2117,Buah Import,21.9,4005797.4338992964,0,0,224853.8110352587,3780943.6228640378
Anggur Midnight Beauty,2420,Buah Import,5.84,1552451.2265744433,0,0,122282.1171616856,1430169.1094127577
Anggur Muscat Box Peacock,10624,Buah Import,50,5271738.196606748,0,0,16015.5406412913,5255722.655965457
Anggur Muscat Box Sunfruit,1874,Buah Import,118,10702057.386108208,1,45000,802517.0980941912,9825151.566609187
Anggur Muscat Box WMR,10587,Buah Import,132,16462148.03597657,2,110000,736385.4928903785,15455891.263807887
Anggur Muscat pack,10620,Buah Import,493,41954753.98391253,3,139000,3093477.947102166,38612371.416406006
Anggur Muscat Premium Bunch,10601,Buah Import,131.86,26345352.671360627,0,0,43079.37304083025,26302273.298319794
Anggur Muscat Premium Bunch Peacock,10623,Buah Import,136.24,26790515.677141212,0.96,112800,2850433.0814654063,23751306.208050616
Anggur Muscat WOW curah,10459,Buah Import,0.2,42346.90808644518,0,0,0,42346.90808644518
Anggur Queen Nina,10582,Buah Import,8,4059762.8824599087,0,0,513386.01479335874,3546376.86766655
Anggur Red Globe 400 g,10209,Buah Import,38,1815334.6590157598,0,0,90467.04772244953,1724867.6112933103
Anggur Red Globe 800 g,1368,Buah Import,4,584175.1881828532,0,0,0,584175.1881828532
Anggur Red Globe curah,10524,Buah Import,0.4,31417.966946028173,0,0,15708.983473014086,15708.983473014086
Anggur Red Globe Jumbo AUS,2211,Buah Import,15.2,2194295.2562600374,0,0,3486.002855526749,2190809.2534045107
Anggur Red Globe RRC curah,10563,Buah Import,1.77,308119.80042887153,0,0,99225.02047709422,208894.7799517773
Anggur Ruby Gem Dino,1817,Buah Import,30,3210460.872517433,0,0,333483.5862103014,2876977.286307132
Anggur Sweet Saphire AUS,10159,Buah Import,16.53,2628065.2935999446,0.4,39600,0,2564470.2471728437
Apel Candy Strawberry,1475,Buah Import,26,2600894.69486475,2,96000,201225.4705630336,2199600.4016198125
Apel Dazzle Besar,10298,Buah Import,61.49,9210074.028632268,0.59,51920,362936.2711134376,8758766.580467392
Apel Dazzle JUMBO,1126,Buah Import,15.34,3320070.867483923,0,0,161404.43458578084,3158666.4328981424
Apel Envy,10107,Buah Import,130.31,25420963.783338647,0.22,18700,734156.3667306863,24644086.716900893
Apel Envy Bag,10606,Buah Import,109,15641884.532442782,1,69000,242581.2750936835,15255799.729528522
Apel Envy Jumbo,1301,Buah Import,24.04,4690655.038069289,0,0,273246.8125189233,4417408.225550366
Apel Envy Premium,10647,Buah Import,129.16,24404628.66037511,1.63,154850,601437.9936649892,23495204.10185714
Apel Envy Premium Jumbo USA,1680,Buah Import,183.99,41961560.8792393,0,0,2599907.1596735283,39361653.71956577
Apel Fuji 88,2261,Buah Import,186.77,16561229.385306068,0.68,31960,516387.84133327473,15975443.215002801
Apel Fuji Premium Besar,10611,Buah Import,43.62,5295639.685154166,0,0,55572.785867968574,5240066.8992861975
Apel Fuji Wang Shan GAMBAR,10560,Buah Import,13.54,2003323.3764063101,0,0,53553.22017578827,1949770.1562305219
Apel Fuji Wang Shan JUMBO,10562,Buah Import,31.51,5508858.018911071,1.25,100000,225027.104320094,5068097.60140302
Apel Fuji Wang Shan M,1873,Buah Import,117.99,11873508.194182519,0,0,702581.4704824849,11170926.723700034
Apel Fuji Wang Shan Premium,1637,Buah Import,28.81,4915340.600368625,0,0,10695.798734560376,4904644.801634065
Apel Fuji Wang Shan TATTO,10558,Buah Import,19.78,3115707.5975598535,0,0,2052.581733789528,3113655.015826064
Apel Fuji Widerways GAMBAR,10074,Buah Import,28.7,2850018.592019216,0,0,62805.12937813648,2787213.46264108
Apel Fuji Widerways Premium,580,Buah Import,36.14,5467026.532154954,0,0,725192.8142676232,4741833.717887331
Apel Granny Smith,1790,Buah Import,208.55,21894896.120926946,0,0,16135.796694564633,21878760.324232385
Apel Granny Smith China Jumbo,10665,Buah Import,5.43,576007.4975771131,0,0,0,576007.4975771131
Apel Granny Smith JUMBO,10628,Buah Import,114.15,13559461.620976798,0,0,7873.8379226997495,13551587.783054098
Apel Jade Snow Wang Shan,2258,Buah Import,43.07,11889177.288649976,0,0,357475.84371492267,11531701.444935054
Apel Lori pack,2058,Buah Import,5,379236.4606820047,0,0,13262.215060433606,365974.2456215711
Apel Miranda,10565,Buah Import,38,5135476.390934549,0,0,974391.403193013,4161084.9877415365
Apel Red Del USA,98,Buah Import,42,4171184.955778497,0,0,673229.5700665321,3497955.3857119647
Apel Rockit tube isi 4,10208,Buah Import,38,7161676.919599995,0,0,1156688.4792530816,6004988.440346913
Apel Royal Gala JUMBO,628,Buah Import,24.84,3351777.2087480407,0,0,551106.4079459896,2800670.800802051
Apel Royal Gala NZ,1053,Buah Import,32.1,3226629.013924906,0,0,241452.99218446226,2985176.021740444
Apel Widerways Medium,10503,Buah Import,3.95,408032.39620197564,0,0,0,408032.39620197564
Aqua Botol 600 ml,1449,Minuman,225,1056329.142098548,0,0,1646.9345024363138,1054682.2075961116
Aqua botol 600 ml DUS,10554,Minuman,27,2376978.917366825,0,0,27829.614988373127,2349149.302378452
Aqua Galon + isi,10656,Minuman,1,102675.02794764005,0,0,0,102675.02794764005
AQUA Galon 19 Lt,2672,Minuman,32,1221474.552330561,2,42000,28462.69568037428,1117456.7297019046
Arak Masak cap Gentong 600 ml SB,1971,Sukses,19,1135616.3071822375,0,0,605.994082049001,1135010.3131001885
Aroma - Back Bacon 250 g,1458,Babi,12,1540467.2690620646,0,0,27931.472437675344,1512535.7966243892
Aroma - Streaky Bacon 250 g,1457,Babi,20,1831799.470987171,0,0,2967.867412128253,1828831.6035750427
Asem Jawa pack ± 100 g,291,Bumbu,12,89341.42001671717,0,0,352.4022678437177,88989.01774887345
Ayam Kampung Frozen,2562,Ayam,19.53,3182669.6784239262,0,0,26960.21069760667,3155709.4677263196
Ayam Kampung ± 1 kg,170,Ayam Kampung,43,10588493.952923454,0,0,33151.835834467085,10555342.117088987
"Ayam Kampung ± 1,1 kg",1139,Ayam Kampung,69,16318168.51080861,0,0,36033.268015962094,16282135.242792647
"Ayam Kampung ± 1,2 kg",418,Ayam Kampung,65,19289834.39700678,0,0,55604.184177218005,19234230.21282956
"Ayam Kampung ± 1,3 kg",172,Ayam Kampung,35,7421692.807308864,0,0,19087.6152156326,7402605.192093231
"Ayam Kampung ± 1,4 kg",10146,Ayam Kampung,8,2040103.658735752,0,0,6661.302749997005,2033442.355985755
Ayam Kampung ± 9 ons,169,Ayam Kampung,4,628931.9674205035,0,0,0,628931.9674205035
Baby Buncis Organik pack ± 250 g,1211,OR sayur organik,376,9448706.647991203,5,73000,95659.46452887682,9237703.44010056
Baby Cumi box ± 500 g,305,Seafood Lokal,13,1289450.9476656094,0,0,29776.398037631996,1259674.5496279774
Baby Cumi box ± 250 g,266,Seafood Lokal,32,1870785.3965759277,0,0,36445.60339481756,1834339.7931811102
Baby Kailan Organik pack ± 250 g,1203,OR sayur organik,279,5225142.634401564,1,10000,114140.33799148304,5092274.186609358
Baby Labu Siam,368,OR sayur organik,26,612143.1044186465,0,0,8359.67736957362,603783.4270490729
Baby Layur Asin 100 g,1347,Asinan,17,437215.4127340764,0,0,7398.713525608182,429816.6992084682
Baby Roman Hidroponik +/- 250 g,10550,Sayur Hidroponik,163,7108445.046795998,2,38000,202660.6895081862,6818564.172664547
Baby Sawi Hijau Organik ± 250 g,9,OR sayur organik,261,2562960.618752986,4,20000,31126.714824993163,2492554.8139854185
Baby Sawi Sendok Organik pack ± 250g,1244,OR sayur organik,511,7375370.475635864,3,21000,89007.68231190718,7243577.494984632
Balducci - Maccheroni 500g,1022,SK,10,308065.1941790711,0,0,5451.964026215253,302613.23015285586
Balducci - Spaghetti 500g,1021,SK,4,131943.5351025313,0,0,0,131943.5351025313
Bamboe AYAM BAKAR BUMBU RUJAK,1904,Bamboe,8,114487.31665033847,0,0,490.3873396522831,113996.92931068619
Bamboe AYAM GORENG,1255,Bamboe,23,429681.9893270731,0,0,764.7093954980373,428917.27993157506
Bamboe AYAM GORENG KALASAN,2123,Bamboe,16,290652.9227178544,0,0,3238.357980614761,287414.5647372396
Bamboe BALADO,10118,Bamboe,22,407685.85069687106,0,0,1111.8705019005574,406573.9801949705
Bamboe BALI,1354,Bamboe,17,252956.08997228555,0,0,0,252956.08997228555
Bamboe EMPAL,10114,Bamboe,19,313839.3708784133,0,0,1263.616414326243,312575.7544640871
Bamboe GADO-GADO,10530,Bamboe,3,125698.71569238603,0,0,39596.22786396369,86102.48782842234
Bamboe GULE,1256,Bamboe,1,12694.892204599455,0,0,0,12694.892204599455
Bamboe KARE,10119,Bamboe,6,75329.40819044597,0,0,1324.1235973031726,74005.2845931428
Bamboe KRENGSENGAN,1902,Bamboe,8,107643.41752510518,0,0,6575.218753825175,101068.19877128
Bamboe LODEH,1258,Bamboe,9,165430.37051917054,0,0,0,165430.37051917054
Bamboe NASI GORENG,1257,Bamboe,10,169224.3371740915,0,0,0,169224.3371740915
Bamboe NASI GORENG PEDAS,1901,Bamboe,10,180633.70087766089,0,0,0,180633.70087766089
Bamboe OPOR,10081,Bamboe,12,170162.84532146528,0,0,1450.1655817951541,168712.67973967013
Bamboe PECEL,10532,Bamboe,6,231615.87598943152,0,0,2816.9498431147076,228798.9261463168
Bamboe RAWON,10048,Bamboe,23,367071.7969344696,0,0,963.9624580366071,366107.834476433
Bamboe RENDANG,10117,Bamboe,11,204799.37191936187,0,0,548.6140750809573,204250.75784428092
Bamboe SAMBAL GORENG ATI,2122,Bamboe,5,71910.8500488801,0,0,0,71910.8500488801
Bamboe SATE,10531,Bamboe,6,245638.05757951923,0,0,2250.5757167420816,243387.48186277715
Bamboe SAYUR ASEM,1260,Bamboe,2,27820.569371106103,0,0,476.65908855828457,27343.91028254782
Bamboe SOTO AYAM,10116,Bamboe,20,236132.06364680082,0,0,4085.084701089654,232046.97894571116
Bamboe SOTO BETAWI,1903,Bamboe,10,177216.01710654795,0,0,7655.7319390028715,169560.28516754508
Bamboe SOTO DAGING (Soto Madura),1353,Bamboe,31,355305.99543883,0,0,6623.20939454576,348682.78604428424
Bamboe TOM YUM,2134,Bamboe,19,362474.7669696808,0,0,13341.615107059479,349133.1518626213
Bamboe TONGSENG,10120,Bamboe,11,170652.89177000523,0,0,3005.817980039865,167647.07378996536
Basil Leaves pack ± 50 g,493,Sayur,183,3066487.348476425,1,7000,49717.311272839084,3000013.2757365014
Bawang Bombay,329,Sayur Pelengkap,80.07,8103388.7798701525,0.79,43450,64367.46095090383,7959070.311849218
Bawang Goreng Premium pack ± 60 g,295,Sayur Pelengkap,74,1148672.8859841824,0,0,20219.253413517028,1128453.6325706653
Bawang Merah pack ± 250 g,11,Sayur Pelengkap,153,4538878.531621071,0,0,28814.287702471018,4510064.2439186
Bawang Putih 100 g,2308,Bumbu,142,2233049.1042705253,3,21000,36034.31351358071,2149837.6970047504
Bawang Putih pack ± 250 g,12,Sayur Pelengkap,144,3607982.723917812,1,15000,31691.7852874503,3551235.5030475995
Bayam Hijau Hidroponik pack ± 250g,276,Sayur Hidroponik,13,189523.19256949704,0,0,3588.077093713917,185935.11547578312
Bayam Hijau Organik ± 250g,326,OR sayur organik,492,5477966.320199892,3,18000,40205.15524845896,5404358.931291677
Bayam pack,14,Sayur,448,3148508.496455848,5,22500,27183.99746493576,3086184.895235825
Bentoel Talas,1166,Sayur,19.53,740301.1459644511,0,0,19161.404469279572,721139.7414951716
Beras Coklat Organik 1 kg,2653,Beras Pari Unggul,5,355490.34856667276,0,0,1583.0028051836416,353907.3457614891
Beras Hitam Organik 1 kg,2652,Beras Pari Unggul,2,169123.52016731165,0,0,0,169123.52016731165
Beras Mentik Susu Organik 1 kg,2654,Beras Pari Unggul,15,1164040.9495675704,0,0,1000.420735772932,1163040.5288317974
Beras Merah Organik 1 kg,2655,Beras Pari Unggul,17,1079809.1178343166,0,0,3778.5175767354667,1076030.600257581
Beras Rojo Lele Organik,10673,Beras,2,97020.88435878977,0,0,0,97020.88435878977
Biaya Packing,958,Ongkos/Biaya,17,403272.3309274297,1,5000,12370.316899614409,378531.6971282009
Biaya Parkir,10361,Ongkos/Biaya,4,12840.04820883274,0,0,0,12840.04820883274
Blueberry Betty's Blues 175 g,1389,Buah Import,42,11222599.571524188,0,0,3207030.619969138,8015568.95155505
Blueberry Driscoll 125 g,1740,Buah Import,75,11378450.364647899,0,0,622336.5899832791,10756113.77466462
Blueberry Driscoll Jumbo 200g,10408,Buah Import,82,24675936.07516191,0,0,731460.8612651902,23944475.213896718
Blueberry Fruitis JUMBO,10702,Buah Import,4,447628.9981417358,0,0,0,447628.9981417358
Blueberry Fruitis Reguler,10701,Buah Import,2,184089.19050358236,0,0,92044.59525179118,92044.59525179118
Blueberry Joyvio LUCU 60 g,922,Buah Import,24,2228228.181950748,0,0,101029.46407678165,2127198.7178739663
Blueberry Mountain Jumbo,10664,Buah Import,47,5575557.182834018,0,0,548188.7822162407,5027368.400617777
