Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Total collected,Payment type,Description,Customer name,Status
2/1/26 11:43 PM,1-126342,Sale,4651.603989303112,0,4651.603989303112,4651.603989303112,QRIS,1 x VIT Botol 550 ml,NA,Closed
2/1/26 11:38 PM,1-126341,Sale,578278.0646046158,0,578278.0646046158,578278.0646046158,Debit BCA,"1 x Pocai pack 500g, 1 x Siomak Organik pack ± 250 g, 1 x Jamur Shitake Fresh pack 200 g, 1 x Sawi Sendok Hidroponik pack ± 250 g, 1 x Roman Hidroponik pack ± 250 g, 1 x Samhong Hidroponik pack ± 250 g, 1 x Tortilla Bread 8 inch, 1 x Blueberry Fruitis JUMBO, 1 x Cemerlang - Kue Keranjang L PANDAN, 4 x Elle & Vire - Dessert Lacte (Mix Berries) 125 g",NA,Closed
2/1/26 11:30 PM,1-126340,Sale,649614.1146649607,0,649614.1146649607,649614.1146649607,Transfer,"0.950 x Buah Naga, 2.100 x Papagan Kucing Ori, 0.690 x Pear Xiang Lie Jumbo, 1 x Baby Sawi Sendok Organik pack ± 250g, 1 x Cuciwis Organik pack ± 250 g, 1 x Luncang +/- 200 g, 1 x Baby Buncis Organik pack ± 250 g",Customer_1,Closed
2/1/26 11:30 PM,1-126339,Sale,139951.9605562091,0,139951.9605562091,139951.9605562091,Transfer,"2 x Pagoda Hidroponik, 2 x Pocai Baby Organik 250g, 0.300 x Selada Keriting Hidroponik pack, 2 x Cuciwis Organik pack ± 250 g",Customer_2,Closed
2/1/26 11:26 PM,1-126338,Sale,346122.60707918555,0,346122.60707918555,346122.60707918555,Transfer,"2 x Ikan Dori Fillet Kecil pack satuan, 0.240 x Fillet Kakap Putih Laut Ekspor, 1 x Basil Leaves pack ± 50 g, 0.270 x Zukini Organik, 1 x Siomak Organik pack ± 250 g, 0.160 x Lemon RRC",Customer_3,Closed
2/1/26 11:15 PM,1-126337,Sale,119658.9974029921,0,119658.9974029921,119658.9974029921,QRIS,"1 x Telur Healthy Egg, 0.800 x PROMO Pear Autumn Honey",NA,Closed
2/1/26 11:10 PM,1-126336,Sale,4108.250823803246,0,4108.250823803246,4108.250823803246,Cash,1 x VIT Botol 550 ml,NA,Closed
2/1/26 10:38 PM,1-126335,Sale,251839.38675792888,0,251839.38675792888,251839.38675792888,QRIS,"1 x Jeruk Wogan Dino Bag, 1 x Kerang Putih/Tahu box 1 kg, 1 x Kailan Hidroponik pack ± 250 g, 1 x Siomak Organik pack ± 250 g, 1 x Cuciwis Organik pack ± 250 g, 1 x Pocai Baby Organik 250g",NA,Closed
2/1/26 10:36 PM,1-126334,Sale,230261.79378134664,0,230261.79378134664,230261.79378134664,Cash,"1 x VIT Botol 550 ml, 1 x Jeruk Shantang Madu Premium 1kg, 0.810 x Apel Envy Jumbo",NA,Closed
2/1/26 10:23 PM,1-126333,Sale,361686.1626843456,0,361686.1626843456,361686.1626843456,COD,"2 x Baby Buncis Organik pack ± 250 g, 2 x Baby Kailan Organik pack ± 250 g, 2 x Pocai Baby Organik 250g, 1 x Yun Yi - Hans Tahu Kuning (isi 10), 2 x Tauge pack ± 250 g, 1 x Kacang Panjang Organik pack ± 250g, 1 x Tempe, 1 x Ongkos Kirim",Customer_4,Closed
