Date,Gross sales,Refunds,Discounts,Net sales
2/1/26,17055621.664312463,6500,736993.0006131157,16308052.775091115
1/31/26,9372455.140050782,0,26253.402006346732,9346201.738044435
1/30/26,6597001.964224042,0,32145.62825183384,6564856.3359722085
1/29/26,11599309.40152447,0,9848.24262210168,11589461.158902368
1/28/26,8182811.000255024,0,905894.8728907853,7276916.127364239
1/27/26,5249453.248072593,0,16223.046072293073,5233230.2020002995
1/26/26,12189763.596244808,42500,492181.586724089,11629686.08003446
1/25/26,16360346.843481533,0,208429.09049545415,16151917.752986081
1/24/26,9250563.422598563,0,91143.17906019278,9159420.243538372
1/23/26,10110423.48649315,0,120125.627447851,9990297.859045299
1/22/26,5346596.676107321,0,20873.320486862212,5325723.355620459
1/21/26,11190421.444213148,0,187262.2465370223,11003159.197676126
1/20/26,6133224.668051731,0,18656.007547862828,6114568.660503868
1/19/26,11629668.724809825,0,24715.348274912685,11604953.376534913
1/18/26,6385301.448085681,0,60959.252984263,6324342.195101418
1/17/26,11751485.166012695,0,24407.28041063994,11727077.885602055
1/16/26,5733914.279525462,0,0,5733914.279525462
1/15/26,13607117.128179438,219650,42450.11620176956,13159268.40225077
1/14/26,14579923.05373178,0,380149.1569990758,14199773.896732705
1/13/26,6494359.5628786925,83650,6044.17434707284,6361916.592498459
1/12/26,9146646.207981354,0,51398.03714992013,9095248.170831433
1/11/26,13353498.318140713,0,137877.51814778894,13215620.799992925
1/10/26,8359397.1089847665,0,43110.494235064834,8316286.614749702
1/9/26,8699734.622904135,0,46845.5712973373,8652889.051606799
1/8/26,16657432.151291007,1220000,138299.9082163442,13943164.486983977
1/7/26,13992347.151129646,0,620371.7974610813,13371975.353668565
1/6/26,12191312.882922085,346925,0,11386406.10165616
1/5/26,15324596.6025614,0,182419.7565317154,15142176.846029684
1/4/26,8526691.482202575,0,21816.19844888337,8504875.28375369
1/3/26,7178135.805851854,0,246141.01875647902,6931994.787095375
1/2/26,11091995.456534363,0,901832.1318922448,10190163.324642118
1/1/26,8514890.150832012,0,64721.310371533036,8450168.84046048
12/31/25,591081.617528107,0,4409.477332956158,586672.1401951509
12/30/25,24269418.31612794,0,438452.5603003567,23830965.755827583
12/29/25,17750291.0254632,0,188741.74586334266,17561549.27959986
12/28/25,12101120.636977926,0,44102.8654621914,12057017.771515734
12/27/25,16289456.87404631,0,780049.6587430942,15509407.215303218
12/26/25,11522033.96801306,0,1444322.7530395612,10077711.214973498
12/25/25,9117201.28671127,0,73045.71795626543,9044155.568755005
12/24/25,9097371.723155603,0,30053.77210606821,9067317.951049535
12/23/25,13199819.194447802,102500,1181535.8404825733,11862362.759611418
12/22/25,21148180.103809573,0,2894696.1866598576,18253483.917149715
12/21/25,7217052.698243662,0,77300.78964924905,7139751.908594413
12/20/25,15185392.87592521,0,84823.08875210583,15100569.787173104
12/19/25,15960957.202427974,0,2702013.3336059283,13258943.868822046
12/18/25,10716915.444004536,0,167697.47527316213,10549217.968731374
12/17/25,11089151.994060788,0,149025.06297710352,10940126.931083685
12/16/25,11558427.593651991,63150,30395.158185856417,11400068.81950368
12/15/25,14486584.001711803,0,1444435.2033782343,13042148.798333568
12/14/25,11085594.544961188,0,13126.555084716529,11072467.989876471
12/13/25,13187142.95492815,159290,508404.39522113185,12307065.990452927
12/12/25,9498812.450528525,0,43790.08316039108,9455022.367368134
12/11/25,11409784.98013417,40000,1667374.8784058378,9660138.653252093
12/10/25,10436074.51919243,706120,116952.73785106838,9172140.291738633
12/9/25,12733777.128274957,0,56987.53885529004,12676789.589419667
12/8/25,12642678.447761178,0,324436.61177926697,12318241.83598191
12/7/25,10606410.05044263,0,912820.3024266195,9693589.748016011
12/6/25,8846656.98994869,0,219028.74326219084,8627628.2466865
12/5/25,14133622.97883838,0,74921.73315794207,14058701.245680436
12/4/25,11528833.393262085,0,671427.8033625335,10857405.589899551
12/3/25,13842285.384499975,0,1351217.1170960763,12491068.267403899
12/2/25,7353267.14154134,0,143230.3285433445,7210036.812997996
12/1/25,17115261.260779463,0,151244.19744650368,16964017.06333296
11/30/25,9011272.86796644,0,718618.7500234682,8292654.11794297
11/29/25,11086687.495397247,0,39732.87743574474,11046954.617961502
